id_cliente,ano_nascimento,nivel_educacao,estado_civil,salario_anual_dolar,criancas_ate_dez_anos,criancas_mais_dez_anos,data_entrada,resposta_campanha
1371,1976,Grado o superior,Soltero,79941,0,0,2022-06-28,0
9909,1996,Secundaria,Casado,7500,0,0,2020-11-09,1
7286,1968,Grado o superior,Unión de hecho,41728,1,0,2021-05-24,0
7244,1951,Grado o superior,Soltero,,2,1,2022-01-01,0
6566,1954,Posgrado,Casado,72550,1,1,2020-11-08,0
8614,1957,Grado o superior,Viuda/Viudo,65486,0,1,2022-05-12,0
4114,1964,Posgrado,Casado,79143,0,0,2020-08-11,0
1331,1977,Grado o superior,Soltero,35790,1,0,2021-01-02,0
2225,1977,Grado o superior,Divorciado,82582,0,0,2022-06-07,1
9381,1978,Grado o superior,Casado,66373,1,1,2021-06-12,0
6260,1955,Posgrado,Unión de hecho,82384,0,0,2020-11-19,1
10383,1966,Grado o superior,Divorciado,70287,0,0,2021-04-02,1
7437,1988,Grado o superior,Soltero,27938,1,0,2022-04-28,0
8557,1982,Grado o superior,Soltero,,1,0,2021-06-17,0
8375,1968,Posgrado,Casado,55954,0,1,2022-03-03,0
6853,1982,Posgrado,Soltero,75777,0,0,2021-07-04,1
3076,1975,Grado o superior,Unión de hecho,66653,1,1,2020-09-07,0
1012,1952,Grado o superior,Soltero,61823,0,1,2021-02-18,0
6518,1951,Posgrado,Viuda/Viudo,67680,0,1,2021-06-11,0
4137,1948,Grado o superior,Unión de hecho,70666,0,0,2021-12-06,0
8082,1971,Grado o superior,Casado,25721,1,0,2021-05-21,1
1386,1967,Grado o superior,Unión de hecho,32474,1,1,2022-05-11,0
9369,1979,Secundaria,Soltero,88194,0,1,2022-03-19,1
4477,1958,Grado o superior,Unión de hecho,69096,0,1,2021-09-27,0
1357,1970,Grado o superior,Unión de hecho,74854,1,2,2021-04-08,0
1402,1954,Posgrado,Casado,66991,0,0,2020-09-11,0
10629,1973,Secundaria,Casado,,1,0,2020-09-14,0
6312,1959,Grado o superior,Casado,65031,0,1,2021-03-17,0
8132,1975,Posgrado,Casado,60631,1,1,2021-04-05,0
1050,1952,Grado o superior,Casado,28332,0,0,2022-04-30,0
5846,1977,Grado o superior,Divorciado,40246,1,0,2020-12-19,0
1859,1972,Posgrado,Casado,75251,0,0,2020-08-27,1
7503,1976,Grado o superior,Soltero,75825,0,0,2020-10-12,1
10401,1976,Secundaria,Unión de hecho,26326,0,0,2021-09-04,0
1618,1965,Grado o superior,Unión de hecho,56046,0,0,2021-01-02,1
3332,1985,Grado o superior,Soltero,29760,1,0,2020-08-29,0
2261,1969,Grado o superior,Casado,26304,1,0,2021-06-23,0
5346,1973,Secundaria,Casado,23559,1,0,2021-07-03,0
4119,1963,Posgrado,Unión de hecho,38620,0,0,2021-05-11,0
535,1987,Grado o superior,Divorciado,81361,0,0,2022-02-25,0
5268,1960,Grado o superior,Casado,29440,1,1,2021-08-11,0
273,1970,Posgrado,Casado,36138,1,1,2021-07-16,0
4452,1957,Grado o superior,Soltero,50388,0,1,2022-05-28,1
8504,1973,Grado o superior,Casado,79593,0,0,2022-05-12,0
771,1967,Grado o superior,Unión de hecho,54178,0,1,2022-01-21,0
8996,1957,Posgrado,Casado,,2,1,2020-11-19,0
9235,1957,Grado o superior,Soltero,,1,1,2022-05-27,0
5798,1973,Posgrado,Unión de hecho,,0,0,2021-11-23,0
11178,1972,Posgrado,Soltero,42394,1,0,2022-03-23,0
2230,1970,Posgrado,Casado,23626,1,0,2022-05-24,0
7516,1983,Grado o superior,Casado,30096,1,0,2022-05-22,0
7247,1960,Grado o superior,Viuda/Viudo,47916,0,1,2020-11-22,0
11100,1972,Grado o superior,Divorciado,51813,1,1,2021-04-11,0
4646,1951,Secundaria,Casado,78497,0,0,2021-12-01,0
3037,1983,Posgrado,Casado,50150,0,0,2021-06-20,0
1473,1960,Secundaria,Soltero,47823,0,1,2021-07-23,0
1016,1959,Posgrado,Soltero,34554,0,1,2022-03-30,0
4518,1979,Grado o superior,Unión de hecho,85693,0,1,2021-04-20,0
9370,1945,Posgrado,Casado,65846,0,0,2021-05-17,0
8908,1959,Grado o superior,Casado,87195,0,0,2022-05-08,1
8373,1979,Secundaria,Unión de hecho,24594,1,0,2021-12-10,0
7533,1964,Grado o superior,Casado,49096,1,1,2021-09-24,0
2683,1969,Grado o superior,Casado,52413,0,2,2021-02-02,0
3629,1978,Grado o superior,Soltero,38557,1,0,2020-12-19,0
10991,1960,Posgrado,Casado,89058,0,0,2020-12-07,0
5077,1979,Grado o superior,Unión de hecho,77298,0,1,2021-11-02,0
7431,1991,Posgrado,Soltero,68126,0,0,2020-11-10,1
3267,1963,Posgrado,Unión de hecho,57288,0,1,2022-06-25,0
999,1991,Grado o superior,Soltero,86037,0,0,2021-01-02,1
9215,1980,Posgrado,Casado,43974,1,0,2020-12-12,0
2286,1962,Grado o superior,Soltero,50785,1,1,2021-09-10,0
1592,1970,Grado o superior,Casado,90765,0,0,2022-01-24,0
367,1978,Secundaria,Casado,36550,1,0,2021-02-19,0
5234,1967,Secundaria,Unión de hecho,30753,1,1,2021-07-11,0
9862,1969,Grado o superior,Unión de hecho,21918,1,0,2021-11-14,0
9805,1953,Posgrado,Unión de hecho,56129,0,1,2021-06-20,0
6205,1967,Posgrado,Soltero,32557,1,0,2022-02-24,1
8442,1985,Posgrado,Casado,19510,2,0,2021-09-04,0
7386,1976,Grado o superior,Divorciado,30992,1,0,2021-04-22,0
7215,1983,Grado o superior,Soltero,101970,0,0,2021-03-12,1
1491,1965,Secundaria,Unión de hecho,71488,0,0,2021-02-18,0
11071,1984,Grado o superior,Soltero,79607,0,0,2021-04-21,1
3381,1953,Posgrado,Casado,54348,1,1,2022-06-08,0
8268,1961,Posgrado,Casado,,0,1,2021-07-11,0
11051,1956,Posgrado,Unión de hecho,77376,1,1,2022-05-10,0
8026,1952,Grado o superior,Casado,62998,0,1,2021-09-30,0
433,1958,Posgrado,Soltero,61331,1,1,2021-03-10,0
9597,1969,Grado o superior,Casado,73448,0,0,2022-02-10,0
1295,1963,Grado o superior,Casado,,0,1,2021-08-11,0
5290,1964,Posgrado,Casado,41551,1,1,2021-08-14,0
1685,1967,Posgrado,Unión de hecho,62981,0,0,2021-03-17,0
5342,1976,Secundaria,Divorciado,9548,1,0,2020-08-08,0
9579,1959,Posgrado,Casado,33762,2,1,2021-07-07,0
7660,1973,Posgrado,Soltero,35860,1,1,2022-05-19,1
1461,1965,Posgrado,Divorciado,36921,1,1,2021-07-28,0
821,1992,Posgrado,Soltero,92859,0,0,2020-10-19,0
11084,1976,Posgrado,Unión de hecho,65104,0,1,2021-11-14,1
8690,1962,Grado o superior,Casado,86111,0,0,2021-04-19,0
2937,1974,Posgrado,Soltero,68352,0,1,2021-08-28,0
9701,1988,Grado o superior,Unión de hecho,41883,1,0,2021-03-19,0
9949,1976,Grado o superior,Casado,59809,0,2,2020-10-18,0
10837,1975,Grado o superior,Casado,23957,1,0,2020-10-28,1
3120,1981,Grado o superior,Unión de hecho,38547,1,0,2021-08-28,0
5885,1973,Secundaria,Casado,35688,2,1,2020-08-22,0
4050,1966,Posgrado,Casado,49605,0,0,2022-06-21,0
3830,1953,Posgrado,Casado,59354,0,2,2022-04-24,0
7987,1969,Grado o superior,Casado,65747,0,1,2022-03-07,0
7798,1972,Secundaria,Unión de hecho,46344,0,1,2020-12-14,0
92,1988,Grado o superior,Soltero,34176,1,0,2022-05-12,0
7055,1952,Posgrado,Unión de hecho,61010,0,1,2020-10-09,0
10240,1949,Grado o superior,Unión de hecho,69372,0,0,2021-02-19,1
3025,1958,Grado o superior,Soltero,49967,0,1,2021-07-08,0
9283,1978,Grado o superior,Soltero,60199,1,2,2021-09-12,0
9970,1977,Grado o superior,Unión de hecho,55375,0,1,2021-10-17,0
2730,1955,Grado o superior,Soltero,80317,0,0,2021-08-20,0
2795,1958,Posgrado,Soltero,30523,2,1,2021-07-01,0
9260,1945,Posgrado,Casado,70356,0,0,2020-11-05,0
8182,1984,Grado o superior,Casado,23228,1,0,2022-01-05,0
10095,1975,Posgrado,Divorciado,74165,0,0,2021-05-01,0
8475,1973,Posgrado,Casado,157243,0,1,2022-03-01,0
4370,1966,Grado o superior,Unión de hecho,43482,2,1,2021-11-13,0
10573,1953,Grado o superior,Divorciado,62551,0,0,2021-11-18,0
3712,1959,Grado o superior,Divorciado,52332,0,0,2021-08-28,0
6637,1988,Grado o superior,Soltero,66951,0,0,2021-11-02,0
3152,1957,Grado o superior,Unión de hecho,26091,1,1,2022-02-25,0
5610,1965,Grado o superior,Unión de hecho,33456,1,1,2022-04-21,0
6460,1982,Grado o superior,Casado,28718,1,0,2021-07-13,0
1349,1970,Grado o superior,Casado,50447,2,0,2022-04-21,0
1880,1959,Posgrado,Unión de hecho,53537,1,1,2022-01-30,0
641,1967,Grado o superior,Soltero,52074,0,1,2022-04-04,0
8717,1975,Posgrado,Casado,80427,0,1,2020-09-12,0
10314,1948,Posgrado,Casado,83837,0,0,2020-12-16,1
10854,1970,Posgrado,Casado,38853,1,1,2022-05-23,0
10492,1959,Grado o superior,Unión de hecho,38285,2,1,2022-06-24,0
6935,1951,Secundaria,Casado,78497,0,0,2021-12-01,0
7698,1976,Posgrado,Casado,51650,0,1,2022-05-11,0
3559,1988,Secundaria,Casado,16248,1,0,2022-05-10,0
10562,1946,Posgrado,Casado,66835,0,0,2021-09-28,0
10796,1984,Posgrado,Casado,30477,1,0,2022-01-22,0
2563,1961,Secundaria,Casado,28249,0,0,2022-06-15,0
3518,1983,Grado o superior,Casado,25271,1,0,2020-12-05,0
5823,1970,Posgrado,Soltero,32303,0,1,2022-03-08,0
3934,1966,Grado o superior,Casado,61286,0,1,2021-08-02,0
6982,1976,Grado o superior,Casado,74068,0,0,2021-03-19,0
6431,1964,Posgrado,Casado,45759,1,1,2021-02-23,0
9733,1978,Secundaria,Unión de hecho,24882,1,0,2020-09-09,0
5602,1989,Posgrado,Unión de hecho,66973,0,0,2021-05-17,0
7829,1900,Secundaria,Divorciado,36640,1,0,2021-09-26,0
1324,1988,Grado o superior,Casado,38872,1,0,2021-05-30,0
326,1973,Grado o superior,Casado,51148,1,1,2021-02-18,0
7224,1977,Grado o superior,Casado,31353,1,1,2021-12-29,0
6999,1980,Posgrado,Casado,69661,0,0,2022-05-13,0
9938,1954,Grado o superior,Casado,80067,0,0,2021-09-19,0
6422,1954,Grado o superior,Casado,86718,0,0,2021-01-17,0
3182,1973,Posgrado,Soltero,46854,1,1,2022-03-31,1
7300,1952,Grado o superior,Divorciado,69142,0,1,2022-06-29,0
10424,1968,Grado o superior,Soltero,75922,0,0,2021-12-09,0
8727,1978,Grado o superior,Divorciado,63693,0,1,2021-10-14,0
2798,1977,Posgrado,Unión de hecho,102160,0,0,2020-11-02,1
1030,1965,Posgrado,Soltero,40637,1,1,2021-07-17,0
624,1984,Posgrado,Soltero,18890,0,0,2020-11-10,1
5176,1988,Grado o superior,Unión de hecho,29604,1,0,2021-12-08,0
5552,1963,Posgrado,Divorciado,48721,1,1,2021-05-13,0
868,1966,Grado o superior,Casado,44794,0,1,2022-06-08,0
380,1954,Grado o superior,Divorciado,64497,0,1,2020-09-10,1
2677,1956,Grado o superior,Unión de hecho,46097,0,1,2021-03-31,0
6521,1954,Grado o superior,Unión de hecho,77972,0,0,2022-03-18,0
6927,1968,Posgrado,Casado,44377,1,1,2020-10-05,0
2877,1974,Posgrado,Unión de hecho,46014,1,1,2021-01-21,0
0,1985,Grado o superior,Casado,70951,0,0,2021-05-04,0
1584,1977,Grado o superior,Casado,41443,1,0,2022-04-01,0
7264,1978,Secundaria,Soltero,52195,2,1,2022-05-12,0
6274,1948,Posgrado,Casado,83790,0,0,2021-11-15,0
1377,1954,Posgrado,Viuda/Viudo,44551,0,1,2021-08-31,0
454,1980,Grado o superior,Unión de hecho,69508,1,0,2020-11-14,0
1755,1988,Secundaria,Unión de hecho,45204,1,0,2022-04-11,0
2075,1969,Grado o superior,Casado,72460,0,0,2021-11-14,0
4785,1970,Posgrado,Unión de hecho,77622,0,2,2022-04-14,0
9076,1980,Posgrado,Casado,30732,1,0,2021-01-05,0
7079,1962,Grado o superior,Divorciado,63887,0,1,2020-09-08,0
4653,1978,Grado o superior,Unión de hecho,42011,1,0,2021-03-26,0
7375,1976,Grado o superior,Unión de hecho,51369,0,1,2020-10-25,0
709,1952,Grado o superior,Divorciado,51537,0,1,2020-12-09,0
460,1972,Posgrado,Casado,79930,0,0,2020-08-08,0
3726,1986,Posgrado,Unión de hecho,34320,1,0,2022-02-16,0
6798,1966,Grado o superior,Soltero,37070,1,1,2021-03-20,1
5341,1962,Secundaria,Divorciado,81975,0,1,2021-01-05,0
1606,1971,Grado o superior,Unión de hecho,38590,1,0,2021-05-15,0
9617,1951,Grado o superior,Soltero,15033,0,0,2022-04-16,0
3233,1965,Posgrado,Casado,62745,0,1,2021-03-23,0
89,1975,Secundaria,Casado,22212,1,0,2021-12-09,0
2936,1982,Posgrado,Unión de hecho,23661,1,0,2021-12-04,0
9449,1958,Posgrado,Soltero,79761,0,1,2021-10-04,0
7297,1973,Grado o superior,Soltero,7500,1,0,2021-12-26,0
11004,1893,Secundaria,Soltero,60182,0,1,2022-05-17,0
313,1968,Grado o superior,Viuda/Viudo,73455,0,0,2021-10-28,0
9940,1958,Grado o superior,Unión de hecho,64961,0,1,2020-12-23,0
10735,1971,Grado o superior,Soltero,22804,1,0,2021-07-31,0
9529,1990,Grado o superior,Casado,73687,0,0,2021-11-28,1
6439,1958,Grado o superior,Casado,61074,0,1,2020-08-17,0
7411,1964,Posgrado,Casado,31686,1,1,2022-06-05,0
2176,1972,Grado o superior,Casado,80134,1,0,2021-05-20,1
9265,1953,Grado o superior,Casado,75027,0,1,2021-01-09,0
8867,1988,Posgrado,Casado,67546,0,0,2020-08-31,0
8932,1969,Posgrado,Unión de hecho,65176,0,1,2020-10-29,0
10236,1975,Posgrado,Soltero,31160,1,0,2021-09-16,0
6340,1985,Grado o superior,Soltero,29938,1,0,2021-10-27,0
10089,1974,Grado o superior,Divorciado,102692,0,0,2021-04-05,1
2227,1958,Secundaria,Unión de hecho,26490,0,0,2020-09-22,0
10992,1967,Grado o superior,Unión de hecho,75702,1,1,2020-08-29,0
5304,1974,Posgrado,Soltero,30899,1,0,2020-10-13,0
309,1961,Posgrado,Unión de hecho,63342,0,1,2020-10-16,0
3406,1964,Grado o superior,Soltero,45989,0,1,2020-10-22,0
2661,1964,Grado o superior,Soltero,18701,1,1,2021-06-04,0
3153,1957,Posgrado,Soltero,40737,2,1,2021-12-08,0
10264,1979,Grado o superior,Divorciado,15287,1,0,2020-10-10,1
1184,1968,Posgrado,Divorciado,69674,0,2,2021-05-22,0
4200,1970,Posgrado,Casado,44159,1,0,2022-06-17,0
9396,1978,Posgrado,Casado,37717,1,0,2020-11-23,0
2387,1952,Posgrado,Unión de hecho,43776,1,1,2021-02-03,1
6690,1966,Posgrado,Casado,38179,1,1,2021-03-14,0
1225,1963,Grado o superior,Casado,80124,0,0,2022-06-26,0
9703,1970,Posgrado,Casado,38097,1,1,2020-10-15,1
291,1970,Grado o superior,Casado,72940,0,0,2021-06-19,0
4557,1970,Grado o superior,Unión de hecho,22070,1,0,2021-10-04,0
2379,1953,Grado o superior,Soltero,69267,0,0,2020-09-22,1
5726,1983,Posgrado,Soltero,31788,1,0,2022-03-20,0
3066,1975,Posgrado,Unión de hecho,61905,0,1,2022-02-04,0
6336,1960,Grado o superior,Casado,29315,1,1,2022-04-06,0
10967,1963,Grado o superior,Divorciado,33378,1,1,2021-02-06,0
2304,1963,Posgrado,Unión de hecho,66313,0,1,2021-09-16,0
3445,1956,Grado o superior,Soltero,60714,0,0,2021-01-17,1
7828,1981,Posgrado,Unión de hecho,77882,0,0,2022-04-30,0
3762,1986,Posgrado,Soltero,69867,0,0,2021-04-02,1
4391,1968,Posgrado,Divorciado,63841,0,1,2021-04-21,0
4669,1981,Secundaria,Casado,24480,1,0,2021-02-11,0
10144,1976,Grado o superior,Unión de hecho,51369,0,1,2020-10-25,0
8652,1946,Grado o superior,Unión de hecho,37760,0,0,2020-08-31,0
1672,1974,Posgrado,Unión de hecho,65640,0,1,2022-03-01,0
8962,1975,Posgrado,Casado,44319,1,1,2022-04-17,0
9974,1974,Grado o superior,Casado,30631,1,0,2021-07-12,0
10983,1952,Grado o superior,Unión de hecho,75278,0,0,2021-01-29,0
8148,1956,Posgrado,Unión de hecho,50898,1,1,2021-01-08,0
10102,1966,Grado o superior,Viuda/Viudo,79946,0,0,2022-05-12,0
4697,1949,Posgrado,Divorciado,35416,0,0,2021-06-13,0
9262,1984,Secundaria,Unión de hecho,32414,0,0,2021-07-04,0
7254,1969,Grado o superior,Unión de hecho,38361,1,0,2021-12-27,0
4543,1980,Grado o superior,Casado,82497,0,0,2020-10-31,0
4927,1971,Grado o superior,Unión de hecho,16626,2,0,2022-01-15,0
10451,1965,Grado o superior,Unión de hecho,29672,1,1,2021-03-12,0
2926,1952,Posgrado,Unión de hecho,55951,0,1,2020-08-23,0
2874,1988,Secundaria,Divorciado,35388,1,0,2021-03-07,0
9738,1986,Posgrado,Unión de hecho,42386,1,0,2021-01-13,0
7119,1982,Grado o superior,Soltero,68627,0,0,2021-01-12,0
3924,1965,Posgrado,Divorciado,57912,0,1,2022-03-17,0
5827,1958,Grado o superior,Divorciado,35246,1,1,2022-04-16,0
5596,1956,Secundaria,Unión de hecho,58821,0,1,2021-10-12,0
10812,1978,Posgrado,Casado,46377,1,0,2022-03-01,0
1717,1988,Grado o superior,Soltero,39747,1,0,2022-04-13,0
9491,1984,Grado o superior,Unión de hecho,23976,1,0,2021-12-27,0
9274,1961,Posgrado,Casado,80950,0,0,2021-03-28,0
6609,1966,Grado o superior,Viuda/Viudo,27038,0,0,2020-09-18,1
6963,1947,Grado o superior,Soltero,77457,0,0,2022-03-05,0
4440,1964,Posgrado,Casado,64100,0,1,2021-09-10,0
1379,1992,Posgrado,Unión de hecho,42670,0,0,2021-04-27,0
10032,1976,Grado o superior,Divorciado,12571,1,0,2022-01-18,0
2826,1967,Grado o superior,Casado,22574,2,1,2021-10-28,0
2437,1989,Grado o superior,Casado,,0,0,2021-06-03,0
6320,1976,Posgrado,Soltero,70893,0,0,2021-02-06,0
3050,1966,Grado o superior,Casado,54198,1,1,2021-12-17,0
231,1956,Posgrado,Unión de hecho,28839,1,1,2022-03-11,0
2392,1972,Grado o superior,Casado,40321,1,1,2021-07-29,0
9478,1985,Grado o superior,Soltero,66503,1,0,2020-08-14,0
113,1951,Grado o superior,Casado,30833,1,1,2021-07-16,0
2863,1970,Grado o superior,Soltero,,1,2,2021-08-23,0
1802,1971,Grado o superior,Casado,64795,0,1,2021-01-17,0
520,1974,Grado o superior,Casado,34421,1,0,2021-07-01,0
8275,1965,Posgrado,Divorciado,47025,1,1,2022-02-09,0
9750,1961,Posgrado,Divorciado,64325,0,1,2021-02-07,0
2607,1953,Grado o superior,Soltero,40464,0,1,2021-01-11,0
7214,1957,Grado o superior,Casado,62187,0,0,2021-07-05,0
5835,1976,Posgrado,Divorciado,14849,1,0,2021-07-02,0
3896,1984,Grado o superior,Casado,27255,1,0,2021-11-07,0
10350,1950,Posgrado,Casado,54432,2,1,2021-05-09,0
7786,1986,Posgrado,Soltero,29999,1,0,2021-02-13,0
2861,1983,Grado o superior,Soltero,24072,1,0,2021-04-16,0
663,1989,Posgrado,Soltero,33996,0,0,2021-09-11,0
10675,1956,Posgrado,Casado,66334,0,1,2021-04-03,1
2521,1971,Posgrado,Casado,35178,1,0,2021-01-10,1
9592,1983,Grado o superior,Unión de hecho,22010,1,0,2021-06-30,0
10151,1960,Grado o superior,Divorciado,62204,0,2,2020-09-12,0
7381,1968,Grado o superior,Divorciado,75693,0,0,2020-12-06,1
4099,1972,Grado o superior,Casado,30675,1,0,2020-11-12,0
9560,1965,Grado o superior,Unión de hecho,83003,0,0,2021-03-03,1
1150,1899,Posgrado,Unión de hecho,83532,0,0,2021-09-26,0
10172,1988,Grado o superior,Soltero,68655,0,0,2020-08-10,0
11191,1986,Grado o superior,Divorciado,41411,0,0,2021-12-07,0
9707,1969,Posgrado,Casado,55212,0,1,2020-11-23,0
6245,1950,Posgrado,Unión de hecho,59292,0,1,2021-06-13,0
8234,1973,Secundaria,Unión de hecho,27190,1,0,2021-08-15,1
1411,1952,Grado o superior,Divorciado,82623,0,0,2021-11-10,0
8553,1965,Grado o superior,Casado,44300,1,1,2021-06-23,0
1826,1970,Grado o superior,Divorciado,84835,0,0,2022-06-16,1
8842,1971,Grado o superior,Viuda/Viudo,30372,1,1,2020-12-25,0
11030,1976,Posgrado,Casado,33181,1,0,2022-01-03,0
2579,1957,Grado o superior,Casado,71113,0,1,2021-12-17,0
175,1986,Grado o superior,Casado,71952,1,0,2021-01-10,0
9185,1966,Posgrado,Soltero,69759,0,0,2021-10-28,1
11056,1974,Grado o superior,Casado,72099,0,0,2020-10-27,0
9365,1976,Posgrado,Soltero,60000,0,1,2020-12-22,0
6201,1978,Grado o superior,Soltero,38643,1,1,2021-11-29,0
2061,1955,Grado o superior,Casado,50737,0,1,2021-05-11,0
6184,1969,Posgrado,Casado,68462,0,0,2020-12-12,0
6142,1943,Posgrado,Casado,65073,0,0,2021-08-20,0
4107,1948,Posgrado,Unión de hecho,46681,0,2,2021-10-08,0
7274,1957,Grado o superior,Casado,78618,0,0,2020-09-28,0
9336,1969,Posgrado,Viuda/Viudo,62187,0,1,2022-03-22,0
2958,1978,Grado o superior,Casado,28442,2,0,2022-02-24,0
933,1978,Posgrado,Casado,37717,1,0,2020-11-23,0
5837,1967,Grado o superior,Casado,51479,1,1,2020-12-28,0
10704,1969,Grado o superior,Soltero,54803,0,1,2020-08-21,0
5125,1960,Grado o superior,Casado,79530,0,0,2021-05-17,0
4432,1976,Grado o superior,Divorciado,31615,1,0,2021-03-16,0
5955,1962,Grado o superior,Unión de hecho,72025,0,0,2020-11-17,0
2928,1975,Posgrado,Soltero,52614,0,1,2020-12-01,0
5680,1984,Secundaria,Casado,35684,1,0,2022-04-22,0
10313,1975,Grado o superior,Casado,48178,1,1,2020-10-28,0
2557,1970,Posgrado,Soltero,29548,1,0,2021-08-29,0
1245,1966,Grado o superior,Soltero,63810,0,1,2020-11-11,0
1519,1972,Posgrado,Soltero,38578,1,1,2021-06-22,1
10703,1975,Posgrado,Soltero,46098,1,1,2020-08-18,0
1726,1970,Grado o superior,Soltero,22585,0,0,2021-03-18,1
4459,1989,Grado o superior,Soltero,30279,1,0,2020-12-30,0
1729,1961,Posgrado,Unión de hecho,66426,0,1,2021-10-02,0
1517,1969,Grado o superior,Soltero,30822,1,0,2021-06-14,0
2098,1969,Posgrado,Casado,33581,2,0,2021-01-08,0
9543,1985,Grado o superior,Casado,19986,1,0,2021-11-14,0
6878,1954,Grado o superior,Viuda/Viudo,27421,0,0,2020-12-12,0
3310,1973,Secundaria,Casado,35688,2,1,2020-08-22,0
2724,1981,Posgrado,Soltero,36143,1,0,2022-03-30,0
948,1971,Grado o superior,Soltero,10245,1,0,2021-05-15,0
6720,1968,Posgrado,Unión de hecho,43795,0,1,2021-10-16,1
6202,1960,Grado o superior,Unión de hecho,63381,0,1,2020-10-05,0
2066,1949,Grado o superior,Unión de hecho,38823,0,1,2020-08-30,0
9799,1968,Posgrado,Divorciado,83664,1,1,2021-05-08,0
8318,1979,Grado o superior,Unión de hecho,90300,0,0,2022-01-03,0
5642,1979,Posgrado,Unión de hecho,62499,1,0,2021-12-09,0
2669,1993,Grado o superior,Soltero,74293,0,0,2022-05-04,0
455,1946,Posgrado,Casado,51012,0,0,2021-04-18,0
7683,1968,Posgrado,Casado,70777,0,1,2022-02-25,0
3428,1991,Posgrado,Unión de hecho,68682,0,0,2021-10-06,0
7414,1971,Grado o superior,Casado,43824,1,1,2020-09-15,0
6354,1984,Grado o superior,Unión de hecho,15345,1,0,2020-08-31,1
798,1987,Grado o superior,Soltero,23442,1,0,2020-12-24,0
8213,1980,Secundaria,Unión de hecho,14515,1,0,2020-11-09,1
2488,1956,Secundaria,Divorciado,31395,1,1,2021-03-23,0
9999,1965,Grado o superior,Unión de hecho,75276,0,0,2020-09-27,0
7617,1974,Grado o superior,Soltero,42373,1,1,2021-08-15,0
615,1960,Grado o superior,Unión de hecho,30507,0,0,2021-03-11,0
2552,1955,Posgrado,Soltero,55521,1,2,2021-10-22,1
194,1965,Grado o superior,Casado,48006,1,1,2022-06-09,0
3645,1972,Posgrado,Soltero,27213,1,0,2020-08-30,1
